# ═════════════════════════════════════════════════════════════════════════════
# Pride Travel Scout – New York City, USA
# ═════════════════════════════════════════════════════════════════════════════

Info, New York City USA, JFK, 🇺🇸, "USA: Extremely safe. Chelsea and Hell's Kitchen are iconic LGBTQ neighborhoods; rights strongly protected citywide.", 95, Chelsea / Hell's Kitchen

Weather, Four distinct seasons with hot humid summers and cold snowy winters., 350, 900
Bar, Therapy,            Bar,   Cocktails | Drag
Bar, Ritz Bar & Lounge,  Bar,   Dance | Patio
Bar, Flaming Saddles,    Bar,   Country | Go-go Boys
Bar, The Townhouse,      Bar,   Cocktails | Piano Bar
Bar, Eagle NYC,          Bar,   Leather | Rooftop
Bar, Barracuda,          Bar,   Drag | Dive
Bar, Gym Sportsbar,      Bar,   Sports Bar | Bear
Bar, Rebar,              Club,  Dance | Cruise
Bar, Metropolitan,       Bar,   Craft Beer | Patio
Bar, The Rosemont,       Club,  Dance | Patio
Bar, 3 Dollar Bill,      Club,  Dance | Performance
Bar, The Deep End,       Bar,   Bear | Creative
Bar, The Phoenix,        Bar,   Dive | Neighborhood
Bar, Nowhere,            Bar,   Dive | Alternative
Bar, The Cock,           Bar,   Cruise | Alternative
Bar, Fairytale Lounge,   Bar,   Go-go Boys | Strip

# ─────────────────────────────────────────────────────────────────────────────
# Saunas
# ─────────────────────────────────────────────────────────────────────────────
Bar, East Side Club / ConTEAnenal,  Sauna,  Men Only
Bar, West Side Spa,                 Sauna,  Cruise Club
Bar, East Side Club,                Sauna,  Cruise Club

# ─────────────────────────────────────────────────────────────────────────────
# Stores
# ─────────────────────────────────────────────────────────────────────────────
Bar, Bureau of Gen. Services,  Store,  LGBTQ Bookstore
Bar, The Phluid Project,       Store,  Clothing
Bar, Purple Passion,           Store,  Leather | Fetish
Bar, Rainbow Station,          Store,  Leather | Fetish

# ─────────────────────────────────────────────────────────────────────────────
# Restaurants
# ─────────────────────────────────────────────────────────────────────────────
Bar, Elmo,                    Restaurant,  Restaurant
Bar, Big Gay Ice Cream,       Restaurant,  Bakery | Dessert
Bar, La Buvette,              Restaurant,  Cafe | Restaurant
Bar, The Coppola's,           Restaurant,  Restaurant
Bar, The Bus Stop Cafe,       Restaurant,  Cafe | Restaurant
Bar, Daily Provisions,        Restaurant,  Cafe | Bakery
Bar, Pink-A-Boo,              Restaurant,  Bakery | Cafe
Bar, Winner,                  Restaurant,  Bakery | Cafe
Bar, Buvette,                 Restaurant,  Restaurant | Cafe
Bar, Cafeteria,               Restaurant,  Restaurant
Bar, Freddie's Tiny Bar,      Restaurant,  Restaurant | Bar
Bar, Hearth,                  Restaurant,  Restaurant
Bar, Otway,                   Restaurant,  Restaurant | Bakery
Bar, Rangoon,                 Restaurant,  Restaurant
Bar, Witch Craft,             Restaurant,  Cafe | Restaurant
Bar, Ninth Street Espresso,   Restaurant,  Coffeeshop
Bar, Koffee Kake Bakery,      Restaurant,  Bakery
Bar, La Bergamote,            Restaurant,  Bakery | Cafe
Bar, Donut Pub,               Restaurant,  Bakery

# ─────────────────────────────────────────────────────────────────────────────
# Tours
# ─────────────────────────────────────────────────────────────────────────────
Tour, 9/11 Memorial & Museum Entry,                   History,       Budget
Tour, Summit One Vanderbilt Observation Deck,          Cultural,      Moderate
Tour, Statue of Liberty & Ellis Island Guided Tour,    History,       Moderate
Tour, Chelsea Market & High Line Food Tour,            Food & Drink,  Moderate
Tour, Circle Line: Best of NYC Sightseeing Cruise,     Cultural,      Moderate
Tour, The Metropolitan Museum of Art Guided Tour,      Cultural,      Moderate
Tour, Manhattan Sky-High Helicopter Tour,              Adventurous,   Luxury
Tour, Broadway Show Experience,                        Show,          Luxury
Tour, Greenwich Village Culinary Walking Tour,         Food & Drink,  Moderate
Tour, Bateaux New York Glass-Enclosed Dinner Cruise,   Show,          Luxury
Tour, Brooklyn Bridge & DUMBO Walking Tour,            Cultural,      Budget
Tour, "Intrepid Sea, Air & Space Museum",              Cultural,      Moderate
Tour, Empire State Building AM/PM Experience,          Cultural,      Moderate
Tour, Central Park Horse and Carriage Ride,            Cultural,      Moderate
Tour, One World Observatory Discovery Ticket,          Cultural,      Moderate
Tour, Pride Walking Tour: History of LGBTQ Rights,     History,       Budget
Tour, Greenwich Village LGBTQ History Tour,            History,       Moderate
Tour, The Stonewall Uprising Historical Tour,          History,       Budget

# ─────────────────────────────────────────────────────────────────────────────
# Mappings
# ─────────────────────────────────────────────────────────────────────────────
Map, north america,  region,   new york city usa
Map, usa,            country,  new york city usa
